step,mean,ci,config_hash,git_hash
1,0.0,0.0,5506028c7ff4dd06a982abd7e67f00f7,nogit
2,0.0,0.0,5506028c7ff4dd06a982abd7e67f00f7,nogit
3,0.0,0.0,5506028c7ff4dd06a982abd7e67f00f7,nogit
4,0.0,0.0,5506028c7ff4dd06a982abd7e67f00f7,nogit
5,0.0,0.0,5506028c7ff4dd06a982abd7e67f00f7,nogit
6,0.0,0.0,5506028c7ff4dd06a982abd7e67f00f7,nogit
7,0.0,0.0,5506028c7ff4dd06a982abd7e67f00f7,nogit
8,0.0,0.0,5506028c7ff4dd06a982abd7e67f00f7,nogit
9,0.0,0.0,5506028c7ff4dd06a982abd7e67f00f7,nogit
10,0.0,0.0,5506028c7ff4dd06a982abd7e67f00f7,nogit
